Customer_ID,Age,Location,Income_Level,App_Usage_Frequency,Total_Spent,LTV,Customer_Satisfaction_Score,Loyalty_Points_Earned,Referral_Count,Support_Tickets_Raised,Preferred_Payment_Method,Churn_Risk
cust_0067,32,Urban,High,Monthly,3190328.25304585,334663.8321142033,8,2476,28,13,Credit Card,Medium Risk
cust_0068,51,Suburban,High,Monthly,1176832.9854174564,126798.67200965715,1,3571,14,4,UPI,Medium Risk
cust_0069,65,Suburban,Middle,Monthly,6599737.116765663,669088.3811331342,8,676,19,3,Credit Card,Medium Risk
cust_0070,55,Suburban,Low,Monthly,8517724.48938694,868547.3206444795,9,3756,21,8,Debit Card,Medium Risk
cust_0071,19,Rural,Middle,Daily,1232106.6241713099,130104.03082010883,6,424,9,12,Debit Card,Medium Risk
cust_0072,17,Rural,High,Daily,584515.2777219734,67108.68321832822,7,1600,7,2,Wallet Balance,Low Risk
cust_0073,21,Urban,High,Weekly,5422280.728686738,552345.1173293373,6,1340,31,10,UPI,Medium Risk
cust_0074,69,Urban,Middle,Monthly,452040.58907928306,49042.6924187106,1,629,27,13,UPI,Medium Risk
cust_0075,57,Suburban,Middle,Monthly,296246.09046552406,39711.7768434677,1,4229,8,8,Debit Card,Medium Risk
cust_0076,19,Urban,Middle,Weekly,10976445.281311158,1105833.7247098417,1,3008,30,12,UPI,High Risk
cust_0077,69,Urban,Middle,Daily,4341933.676381383,442584.5523242903,3,2065,22,1,Debit Card,Medium Risk
cust_0078,44,Urban,Middle,Weekly,3260286.8709851354,342997.6145879022,7,4463,18,17,Debit Card,Low Risk
cust_0079,33,Urban,High,Monthly,2516462.5472181756,262359.5721883565,8,167,31,6,Wallet Balance,Medium Risk
cust_0080,41,Urban,Middle,Daily,4547307.826940627,464621.5096292016,1,4005,9,2,Debit Card,Medium Risk
cust_0081,59,Suburban,Low,Weekly,4790851.321084131,493152.5191014087,6,4012,19,6,Debit Card,Medium Risk
cust_0082,49,Suburban,High,Weekly,2450293.655857305,256098.08974318733,8,16,34,6,Wallet Balance,Low Risk
cust_0083,25,Urban,High,Monthly,1513839.0593491925,161172.29383775863,5,1545,30,1,UPI,Medium Risk
cust_0084,51,Suburban,Low,Monthly,1297742.010477677,135793.99754275716,2,1530,10,7,Debit Card,Medium Risk
cust_0085,29,Rural,Low,Daily,2186174.7887359965,232873.7706537864,4,3813,42,10,Credit Card,Medium Risk
cust_0086,46,Urban,High,Monthly,716559.4159874378,81626.21072688188,4,1497,39,15,Wallet Balance,Medium Risk
cust_0087,63,Rural,Middle,Weekly,358882.4133499322,40295.372706580165,4,542,9,7,UPI,High Risk
cust_0088,30,Suburban,High,Monthly,708905.8210489313,80917.84473735285,8,726,8,13,Wallet Balance,Medium Risk
cust_0089,23,Suburban,High,Weekly,15575351.127323365,1567725.2781173913,6,378,41,4,Debit Card,Medium Risk
cust_0090,29,Rural,Low,Monthly,11620917.02660629,1180585.9356781968,9,4435,9,6,UPI,Medium Risk
cust_0091,38,Suburban,High,Daily,1191277.194681606,141016.54252336148,10,4302,49,9,Credit Card,Low Risk
cust_0092,55,Urban,Middle,Daily,280045.93223648326,39319.209483953804,1,3493,36,19,Wallet Balance,Medium Risk
cust_0093,36,Rural,Low,Daily,4583150.27090298,468298.2715614641,1,3463,36,20,Credit Card,Medium Risk
cust_0094,31,Urban,High,Monthly,763739.1953425269,80327.19335679561,2,845,6,5,Wallet Balance,Medium Risk
cust_0095,60,Rural,High,Daily,1719122.736010676,184157.88708710938,5,3852,19,5,Debit Card,Medium Risk
cust_0096,33,Suburban,Middle,Weekly,3025026.0463636336,319003.6529428515,6,4821,19,9,Wallet Balance,Medium Risk
cust_0097,62,Rural,High,Monthly,1855881.6527531254,190317.69007637235,3,673,7,8,Credit Card,Medium Risk
cust_0098,68,Rural,High,Daily,14310161.54300681,1440551.628174689,1,3520,16,2,Wallet Balance,Medium Risk
cust_0099,39,Urban,High,Monthly,6397311.195910716,655685.5632064409,7,3039,37,4,Debit Card,Medium Risk
cust_0100,41,Suburban,High,Monthly,4057215.457554702,411007.079694763,1,2057,24,16,Debit Card,Medium Risk
cust_0101,40,Urban,Middle,Weekly,1611573.674337626,177887.82952891084,7,4445,12,0,Wallet Balance,Low Risk
cust_0102,60,Suburban,High,Monthly,2169657.904144687,229862.71024562404,9,737,44,9,UPI,Medium Risk
cust_0103,56,Urban,High,Monthly,10247934.811820578,1033866.0516106987,1,3958,12,4,Debit Card,Medium Risk
cust_0104,44,Rural,High,Monthly,10062157.203984978,1025532.400771651,8,4312,47,0,Wallet Balance,Medium Risk
cust_0105,30,Urban,Low,Weekly,7181235.777531987,732935.8493810768,10,3449,1,9,Debit Card,Low Risk
cust_0106,60,Suburban,Middle,Daily,3559797.593405353,369533.21544651693,9,1724,36,13,Debit Card,Low Risk
cust_0107,16,Suburban,Low,Daily,1014823.9642731086,118717.90273572684,8,2653,41,15,Debit Card,Low Risk
cust_0108,40,Rural,Low,Monthly,9484864.762297248,953717.7230779107,1,1061,41,17,Debit Card,Medium Risk
cust_0109,22,Suburban,Middle,Daily,3540585.782725678,368250.3560631973,4,4683,10,18,Debit Card,Medium Risk
cust_0110,24,Urban,Low,Monthly,33507.66628586042,17099.784849138552,10,1318,19,13,Debit Card,Medium Risk
cust_0111,39,Rural,Low,Daily,16341416.678069837,1638984.0871703809,4,829,8,9,UPI,Medium Risk
cust_0112,16,Suburban,Low,Daily,1102904.0409382074,121742.18300629112,1,3585,44,7,UPI,Medium Risk
cust_0113,59,Suburban,Middle,Weekly,3676649.3354593953,384093.79135776777,7,3221,44,15,Debit Card,Low Risk
cust_0114,23,Urban,High,Weekly,257772.15129628128,39929.73482731177,7,3384,28,10,UPI,Low Risk
cust_0115,39,Urban,Middle,Weekly,3962774.035762662,411824.7616807262,10,2147,33,16,Debit Card,Low Risk
cust_0116,26,Rural,Middle,Daily,8518076.209034994,862902.4470105474,9,1302,4,12,Debit Card,Low Risk
cust_0117,66,Suburban,Middle,Daily,26530.458169573183,18303.184229961604,8,3075,30,4,Wallet Balance,Low Risk
cust_0118,32,Urban,Low,Daily,48895.0740571603,19878.299835623307,3,4805,25,14,Credit Card,Medium Risk
cust_0119,23,Rural,High,Daily,2645244.077600838,272912.1621672313,2,1960,36,15,UPI,Medium Risk
cust_0120,50,Suburban,Middle,Weekly,5318283.736441691,548007.3823056859,10,1700,43,9,Credit Card,Low Risk
cust_0121,50,Suburban,Middle,Weekly,132257.8932643673,22378.99650308682,3,3020,19,16,Debit Card,High Risk
cust_0122,48,Rural,High,Daily,6003421.922116403,608836.3989896899,8,1024,7,14,Wallet Balance,Low Risk
cust_0123,20,Rural,High,Daily,3736840.631834467,380674.4175996285,6,599,5,7,Debit Card,Medium Risk
cust_0124,57,Urban,High,Weekly,48838.24603435753,10210.398519754779,3,1441,17,8,Debit Card,High Risk
cust_0125,54,Suburban,Low,Daily,1452675.7888506763,154523.78259490445,2,4105,7,8,Wallet Balance,Medium Risk
cust_0126,56,Suburban,High,Monthly,13060760.36579954,1314125.922274253,1,2422,24,10,Wallet Balance,Medium Risk
cust_0127,43,Suburban,Low,Weekly,331132.70562348736,41552.43835252008,8,645,1,8,UPI,Low Risk
cust_0128,22,Rural,Middle,Weekly,2161970.0867455183,224687.5208777056,3,1991,27,10,Wallet Balance,High Risk
cust_0129,24,Urban,Low,Daily,9559683.799665552,968579.1618021545,3,3196,41,6,UPI,Medium Risk
cust_0130,23,Suburban,High,Monthly,3571109.794461461,370965.13027084246,5,3372,24,3,UPI,Medium Risk
cust_0131,27,Rural,Low,Daily,5956046.749967133,610619.7135897441,5,4747,19,18,UPI,Medium Risk
cust_0132,49,Suburban,High,Monthly,7530536.061285163,765516.2225545385,9,1646,5,8,Credit Card,Medium Risk
cust_0133,48,Urban,Low,Daily,1978851.9766180033,210479.62964574381,5,3141,36,2,Credit Card,Medium Risk
cust_0134,63,Suburban,Middle,Weekly,5550489.157378495,570023.7830858297,7,4319,15,18,UPI,Low Risk
cust_0135,38,Urban,Low,Weekly,7897013.30789481,802421.2916427506,7,1754,34,12,UPI,Low Risk
cust_0136,39,Urban,Middle,Monthly,2404122.0427566133,252242.83266041265,7,750,35,15,Credit Card,Medium Risk
cust_0137,52,Suburban,High,Monthly,5046854.390819111,509988.9255577131,5,842,0,3,UPI,Medium Risk
cust_0138,50,Suburban,Middle,Daily,427435.7669086401,52390.98491346968,3,3414,13,9,Debit Card,Medium Risk
cust_0139,59,Urban,High,Weekly,304249.12578452367,43359.855579660594,7,3428,13,2,Debit Card,Low Risk
cust_0140,55,Rural,High,Daily,10733951.555841763,1090546.3617916005,8,3510,23,17,Wallet Balance,Low Risk
cust_0141,37,Urban,Middle,Daily,2235210.0137182097,232196.73943979322,4,2303,18,20,UPI,Medium Risk
cust_0142,42,Suburban,Middle,Weekly,46161.299461724906,18337.117717415993,6,2714,37,10,UPI,Medium Risk
cust_0143,50,Suburban,Low,Monthly,14884784.1715398,1500351.4808197906,5,1505,43,16,Debit Card,Medium Risk
cust_0144,16,Rural,Low,Weekly,4103178.5632221424,424567.5227030199,10,1427,17,16,UPI,Low Risk
cust_0145,50,Urban,Middle,Weekly,4086226.8807634185,417395.81100000755,2,3854,8,11,Debit Card,High Risk
cust_0146,52,Urban,Middle,Monthly,615791.0710440252,68413.5549086301,1,2742,12,3,Debit Card,Medium Risk
cust_0147,62,Urban,Middle,Weekly,3209022.7564538578,337544.4264052715,6,4071,50,7,UPI,Medium Risk
cust_0148,29,Suburban,Middle,Monthly,1419300.6690311711,160643.05900432708,10,3274,44,0,UPI,Medium Risk
cust_0149,18,Urban,High,Weekly,14184412.609249476,1433242.967241683,6,2608,50,20,Debit Card,Medium Risk
cust_0150,16,Rural,Middle,Monthly,2154820.43313488,227425.71434913043,7,2374,18,10,UPI,Medium Risk
cust_0151,20,Suburban,Middle,Monthly,7992688.817962666,809699.6653896717,5,2464,9,5,UPI,Medium Risk
cust_0152,41,Suburban,Middle,Daily,1420291.733880284,152104.16163643295,1,3805,37,4,Credit Card,Medium Risk
cust_0153,29,Urban,Middle,Weekly,8849774.45637156,897900.1112012946,6,3935,2,14,Credit Card,Medium Risk
cust_0154,54,Rural,High,Daily,9354439.836152332,945606.5986161674,4,1383,47,18,Debit Card,Medium Risk
cust_0155,42,Suburban,Low,Weekly,3323779.4406038267,348435.12134507607,7,3620,40,14,Debit Card,Low Risk
cust_0156,24,Suburban,Low,Daily,7645033.739246543,774639.7481009433,2,3276,16,6,Wallet Balance,Medium Risk
cust_0157,30,Urban,Low,Daily,10702120.713689199,1086076.2048672216,9,2950,22,16,Wallet Balance,Low Risk
cust_0158,30,Urban,Low,Daily,2834375.805335827,292028.66390126286,7,279,26,20,Debit Card,Low Risk
cust_0159,41,Rural,Low,Daily,1054646.724799621,118822.39746858747,5,3978,8,0,Credit Card,Medium Risk
cust_0160,57,Urban,High,Daily,1397278.8510983728,146497.13410101994,2,2270,4,13,Debit Card,Medium Risk
cust_0161,28,Rural,Low,Weekly,273770.2059118538,33149.6852494312,1,2155,18,18,Debit Card,High Risk
cust_0162,66,Suburban,High,Daily,919226.1336778536,99719.790723962,5,683,28,15,Credit Card,Medium Risk
cust_0163,47,Rural,High,Daily,1638191.1326888562,175595.48700394438,10,601,14,1,Wallet Balance,Low Risk
cust_0164,54,Rural,Low,Weekly,7296267.459399503,740607.1677473683,5,2043,41,20,Debit Card,Medium Risk
cust_0165,64,Rural,Low,Monthly,8859930.244736068,894804.3130074033,3,1532,35,6,Wallet Balance,Medium Risk
cust_0166,67,Suburban,Low,Weekly,5924875.63141613,603216.3644549736,9,960,11,11,UPI,Low Risk
cust_0167,47,Urban,Middle,Monthly,2973047.774799444,314291.9898824807,10,3077,13,8,Credit Card,Medium Risk
cust_0168,19,Suburban,High,Weekly,2033996.6565489913,206783.76489119578,1,506,14,16,Debit Card,High Risk
cust_0169,45,Urban,Low,Daily,1419640.6130783185,154542.99167358957,5,1822,50,6,Debit Card,Medium Risk
cust_0170,52,Rural,Middle,Monthly,5608076.16475082,568878.245541919,4,1194,30,13,Wallet Balance,Medium Risk
cust_0171,38,Rural,High,Daily,9401468.81650117,942383.1820093044,2,874,4,18,UPI,Medium Risk
cust_0172,54,Rural,Middle,Monthly,4302532.366892045,439061.30662845983,1,2315,43,1,Credit Card,Medium Risk
cust_0173,60,Rural,Middle,Daily,3507793.747685616,368858.54431917245,10,4288,2,7,UPI,Low Risk
cust_0174,30,Rural,Low,Monthly,7946939.602233398,807389.3685438206,4,2803,46,0,UPI,Medium Risk
cust_0175,58,Urban,High,Daily,14787818.739045177,1492342.9359766426,6,2807,29,1,Debit Card,Medium Risk
cust_0176,44,Urban,Middle,Monthly,606575.0693823311,76907.9451287997,8,2117,46,19,Wallet Balance,Medium Risk
cust_0177,51,Rural,High,Monthly,6893285.565341866,704532.6865682094,10,3190,11,14,Wallet Balance,Medium Risk
cust_0178,28,Suburban,Low,Daily,695353.6730397518,79169.6403211117,2,3788,14,14,Debit Card,Medium Risk
cust_0179,47,Suburban,High,Weekly,6333967.487043059,647805.5555268022,2,4605,37,18,Debit Card,High Risk
cust_0180,22,Rural,Middle,Weekly,7018637.732732987,710352.4949376137,6,733,27,1,UPI,Medium Risk
cust_0181,66,Urban,Middle,Daily,5980250.568905576,613927.3628557255,4,4555,48,4,Wallet Balance,Medium Risk
cust_0182,37,Suburban,High,Daily,3417792.5634059343,355404.9219518999,10,1661,22,11,Credit Card,Low Risk
cust_0183,43,Suburban,Middle,Weekly,2162982.5151883997,237505.40799123922,9,4553,46,12,Debit Card,Low Risk
cust_0184,17,Suburban,Middle,Monthly,7859119.921913814,799336.9381055546,4,4662,14,15,UPI,Medium Risk
cust_0185,57,Rural,Middle,Daily,3689869.5859833136,378311.6493906725,2,4134,10,7,Wallet Balance,Medium Risk
cust_0186,60,Suburban,Low,Daily,9454134.86805514,949481.1812952344,1,969,29,4,Debit Card,Medium Risk
cust_0187,68,Suburban,Low,Daily,14215685.622853974,1427761.8694897997,6,261,11,20,UPI,Medium Risk
cust_0188,21,Suburban,Middle,Daily,778960.664685829,87609.76505669016,1,4279,18,10,Wallet Balance,Medium Risk
cust_0189,43,Suburban,High,Weekly,12766286.440773029,1294537.0794661313,6,4615,31,10,Credit Card,Medium Risk
cust_0190,43,Urban,Low,Weekly,6753411.604550382,690489.3266095184,8,3599,0,9,UPI,Low Risk
cust_0191,59,Rural,High,Daily,5159819.079440748,529072.0676871771,6,3959,15,12,Credit Card,Medium Risk
cust_0192,59,Rural,Middle,Weekly,10059929.799449231,1009424.7682069415,4,385,10,10,UPI,High Risk
cust_0193,35,Urban,Middle,Weekly,378609.0402980063,49586.97707734901,2,4348,30,18,Credit Card,High Risk
cust_0194,45,Urban,High,Weekly,2034461.2634012506,212783.3658338613,5,1034,32,0,Wallet Balance,Medium Risk
cust_0195,26,Rural,Low,Monthly,13474559.176185744,1358657.0408778253,5,1539,35,20,Credit Card,Medium Risk
cust_0196,43,Suburban,High,Daily,2961556.986299263,309774.36832728295,8,1806,29,10,Credit Card,Low Risk
cust_0197,40,Suburban,High,Daily,11398291.563461846,1153039.5726792926,3,4163,37,3,Credit Card,Medium Risk
cust_0198,54,Rural,Middle,Daily,8008682.1107945675,807278.2111665307,2,2474,3,0,Wallet Balance,Medium Risk
cust_0199,48,Suburban,Low,Daily,269912.029474811,32513.420589797493,1,2056,24,20,Debit Card,Medium Risk
cust_0200,16,Urban,High,Weekly,6006056.062721536,613487.0730108777,2,4632,33,5,Debit Card,High Risk
cust_0201,42,Suburban,Low,Weekly,277568.26262103324,32981.877233071005,2,1600,16,15,UPI,High Risk
cust_0202,67,Suburban,Middle,Monthly,6045133.970416609,613761.8049250151,1,3687,32,9,Debit Card,Medium Risk
cust_0203,28,Suburban,Low,Daily,1160550.3989256755,134301.4991670996,8,4790,29,10,Credit Card,Low Risk
cust_0204,56,Rural,Middle,Monthly,17449624.109308917,1753983.2472637354,8,800,12,15,Wallet Balance,Medium Risk
cust_0205,18,Urban,Low,Monthly,11414182.237174615,1156158.1048840838,10,2069,11,8,Debit Card,Medium Risk
cust_0206,54,Suburban,High,Monthly,14855257.732352763,1496828.4626734736,4,3275,31,11,Wallet Balance,Medium Risk
cust_0207,21,Rural,Middle,Monthly,7459896.911382163,759121.8850092989,3,4250,22,19,Credit Card,Medium Risk
cust_0208,23,Suburban,High,Weekly,426182.0044700916,52674.742558722966,1,3594,28,16,Debit Card,High Risk
cust_0209,42,Urban,Middle,Monthly,3637672.202328113,378714.26729438937,8,2857,33,19,UPI,Medium Risk
cust_0210,24,Suburban,Low,Weekly,4764688.472781921,488717.20450876246,8,1485,18,10,UPI,Low Risk
cust_0211,52,Urban,Low,Weekly,1149404.8682576972,126789.97872546919,4,4173,11,0,Credit Card,High Risk
cust_0212,48,Suburban,Middle,Monthly,55349.915616001264,19318.400610771645,5,4814,3,5,Wallet Balance,Medium Risk
cust_0213,66,Urban,Middle,Daily,7312038.913616783,745759.808089346,4,4858,24,9,Credit Card,Medium Risk
cust_0214,57,Suburban,Middle,Weekly,4793576.757087752,492766.54878130584,5,4152,25,7,Debit Card,Medium Risk
cust_0215,59,Urban,Low,Daily,2605758.0659628785,264930.8958990326,4,338,17,13,Wallet Balance,Medium Risk
cust_0216,39,Suburban,Middle,Weekly,555590.2841378559,67265.47182361266,9,273,29,18,Wallet Balance,Low Risk
cust_0217,30,Suburban,Middle,Weekly,9391942.883149726,951273.1026479948,1,3961,33,20,Wallet Balance,High Risk
cust_0218,69,Rural,High,Monthly,2504430.617356892,265009.45090348675,10,1892,32,6,Wallet Balance,Medium Risk
cust_0219,47,Rural,Middle,Monthly,5256989.561051646,544748.0250390004,10,3756,30,6,Debit Card,Medium Risk
cust_0220,47,Urban,High,Daily,3451735.3708831854,359796.7742397918,3,4528,30,5,Wallet Balance,Medium Risk
cust_0221,39,Suburban,High,Weekly,3283469.258390794,339855.1541516377,7,2438,12,18,Wallet Balance,Low Risk
cust_0222,56,Urban,High,Daily,3402162.3771692575,352252.6965789096,6,1921,23,10,Credit Card,Medium Risk
cust_0223,67,Rural,Low,Monthly,745410.4452094273,89298.23952560713,8,3413,4,0,UPI,Medium Risk
cust_0224,64,Urban,High,Monthly,6392449.494468335,651229.3733958526,6,1283,50,5,Wallet Balance,Medium Risk
cust_0225,64,Urban,Middle,Daily,640881.1031304994,79263.91703032673,8,4091,0,12,UPI,Low Risk
cust_0226,67,Rural,Low,Daily,4523396.694929023,460268.9401749831,1,2221,33,17,Wallet Balance,Medium Risk
cust_0227,27,Suburban,Low,Weekly,8106914.564806871,826046.7198559067,9,1747,45,1,Wallet Balance,Low Risk
cust_0228,54,Urban,Low,Daily,5149888.749018425,525154.8661098594,5,3266,8,16,Credit Card,Medium Risk
cust_0229,17,Rural,Low,Daily,10204789.207162786,1036506.4429680888,10,3512,7,16,UPI,Low Risk
cust_0230,18,Suburban,Low,Monthly,4978798.251659044,509677.2240643875,2,3378,42,1,Credit Card,Medium Risk
cust_0231,64,Rural,Low,Monthly,845769.2017521382,96235.7605975173,1,4403,35,0,Debit Card,Medium Risk
cust_0232,52,Urban,Low,Daily,247319.68313515425,35076.83777416192,4,2642,28,11,UPI,Medium Risk
cust_0233,64,Suburban,High,Monthly,4406662.980783845,453238.67152780405,10,555,34,11,UPI,Medium Risk
cust_0234,32,Suburban,Middle,Monthly,1954793.781657557,207619.75720653185,8,2254,4,4,Credit Card,Medium Risk
cust_0235,64,Rural,Middle,Monthly,6886896.260592092,698183.5418110382,3,1140,45,15,Wallet Balance,Medium Risk
cust_0236,17,Rural,High,Monthly,3020544.6334536686,318857.76319483545,10,3804,9,15,Wallet Balance,Medium Risk
cust_0237,17,Rural,High,Weekly,6460197.991511745,656987.0872136767,4,1785,37,12,Debit Card,High Risk
cust_0238,43,Suburban,Low,Weekly,5468442.43953942,550815.2073986549,2,1113,9,6,Wallet Balance,High Risk
